UKBPPP ProteinID,Olink ID,Assay Target,Protein panel,Gene symbol,UniProt,Gene CHROM,Gene start,Gene end,Dilution factor,% of samples below LOD,Coefficient of variation (median %),% of data failing QC,ICC (interclass correlation) of sample age 
COMMD9:Q9P000:OID31390:v1,OID31390,COMMD9,Oncology_II,COMMD9,Q9P000,11,36269284,36289449,1:01,9.74%,6.95,0.00%,0.032297
COMP:P49747:OID20405:v1,OID20405,COMP,Cardiometabolic,COMP,P49747,19,18782773,18791305,0.736111111,0.03%,4.43,1.50%,0.007935
COMT:P21964:OID20086:v1,OID20086,COMT,Cardiometabolic,COMT,P21964,22,19941371,19969975,1:01,0.01%,5.74,1.20%,0.079127
COPB2:P35606:OID30173:v1,OID30173,COPB2,Cardiometabolic_II,COPB2,P35606,3,139353946,139389736,1:01,98.20%,6.23,0.00%,0.020231
COPE:O14579:OID20797:v1,OID20797,COPE,Neurology,COPE,O14579,19,18899514,18919387,1:01,84.83%,8.69,0.00%,0.003529
COQ7:Q99807:OID30217:v1,OID30217,COQ7,Cardiometabolic_II,COQ7,Q99807,16,19067614,19080095,1:01,0.33%,7.33,0.00%,0.003095
CORO1A:P31146:OID20286:v1,OID20286,CORO1A,Cardiometabolic,CORO1A,P31146,16,30182827,30189076,0.111111111,0.18%,11.08,3.14%,0.087722
CORO6:Q6QEF8:OID30870:v1,OID30870,CORO6,Neurology_II,CORO6,Q6QEF8,17,29614756,29622912,1:01,78.45%,6.51,0.00%,0.005189
COX5B:P10606:OID21297:v1,OID21297,COX5B,Oncology,COX5B,P10606,2,97646062,97648383,1:01,0.61%,14.36,0.00%,0.036862
COX6B1:P14854:OID30317:v1,OID30317,COX6B1,Cardiometabolic_II,COX6B1,P14854,19,35648323,35658782,1:10,69.44%,8.57,0.00%,0.020218
CPA1:P15085:OID20280:v1,OID20280,CPA1,Cardiometabolic,CPA1,P15085,7,130380339,130388114,0.111111111,0.03%,4.45,0.00%,0.003106
CPA2:P48052:OID21060:v1,OID21060,CPA2,Neurology,CPA2,P48052,7,130266863,130289798,1:10,0.04%,4.63,0.57%,0.006614
CPA4:Q9UI42:OID30606:v1,OID30606,CPA4,Inflammation_II,CPA4,Q9UI42,7,130293134,130324180,1:10,0.18%,4.95,1.65%,0.006405
CPB1:P15086:OID20289:v1,OID20289,CPB1,Cardiometabolic,CPB1,P15086,3,148791102,148860187,0.111111111,0.03%,4.94,0.00%,0.003348
CPB2:Q96IY4:OID30734:v1,OID30734,CPB2,Inflammation_II,CPB2,Q96IY4,13,46053186,46105033,1:100000,0.08%,5.23,0.15%,0.002667
CPE:P16870:OID21392:v1,OID21392,CPE,Oncology,CPE,P16870,4,165361194,165498547,1:01,0.06%,5.69,0.90%,0.002232
CPLX2:Q6PUV4:OID31186:v1,OID31186,CPLX2,Oncology_II,CPLX2,Q6PUV4,5,175796310,175884021,1:01,97.94%,5.18,0.00%,0.001678
CPM:P14384:OID21054:v1,OID21054,CPM,Neurology,CPM,P14384,12,68842197,68971570,1:10,0.04%,4.12,0.45%,0.008144
CPOX:P36551:OID30495:v1,OID30495,CPOX,Inflammation_II,CPOX,P36551,3,98579446,98593648,1:01,29.01%,6.62,0.00%,0.008621
CPPED1:Q9BRF8:OID21053:v1,OID21053,CPPED1,Neurology,CPPED1,Q9BRF8,16,12659799,12803887,1:10,0.03%,4.38,0.00%,0.064256
CPQ:Q9Y646:OID30406:v1,OID30406,CPQ,Cardiometabolic_II,CPQ,Q9Y646,8,96645242,97149654,0.111111111,0.05%,3.76,0.15%,0.004401
CPTP:Q5TA50:OID30106:v1,OID30106,CPTP,Cardiometabolic_II,CPTP,Q5TA50,1,1324756,1328896,1:01,88.63%,5.55,0.00%,0.005449
CPVL:Q9H3G5:OID21435:v1,OID21435,CPVL,Oncology,CPVL,Q9H3G5,7,28995235,29195451,1:01,0.05%,5.39,0.15%,0.00367
CPXM1:Q96SM3:OID21479:v1,OID21479,CPXM1,Oncology,CPXM1,Q96SM3,20,2794074,2800627,1:10,0.03%,5.13,0.00%,0.011756
CPXM2:Q8N436:OID30322:v1,OID30322,CPXM2,Cardiometabolic_II,CPXM2,Q8N436,10,123706207,123940267,1:10,0.47%,6.79,0.00%,0.004068
CR1:P17927:OID30697:v1,OID30697,CR1,Inflammation_II,CR1,P17927,1,207496147,207641765,0.736111111,0.15%,4.27,0.30%,0.004843
CR2:P20023:OID20393:v1,OID20393,CR2,Cardiometabolic,CR2,P20023,1,207454230,207489895,0.736111111,0.04%,4.85,0.15%,0.00462
CRACR2A:Q9BSW2:OID21249:v1,OID21249,CRACR2A,Oncology,CRACR2A,Q9BSW2,12,3606633,3764819,1:01,0.83%,9.11,0.00%,0.112613
CRADD:P78560:OID20923:v1,OID20923,CRADD,Neurology,CRADD,P78560,12,93677375,93894840,1:01,0.03%,5.86,0.15%,0.085498
CREB3:O43889:OID31188:v1,OID31188,CREB3,Oncology_II,CREB3,O43889,9,35732598,35736999,1:01,88.69%,7.91,0.00%,0.004194
CREBZF:Q9NS37:OID31206:v1,OID31206,CREBZF,Oncology_II,CREBZF,Q9NS37,11,85657742,85682908,1:01,97.51%,6.14,0.00%,0.006017
CREG1:O75629:OID21515:v1,OID21515,CREG1,Oncology,CREG1,O75629,1,167529117,167553805,1:10,0.02%,4.38,1.50%,0.008592
CRELD1:Q96HD1:OID30619:v1,OID30619,CRELD1,Inflammation_II,CRELD1,Q96HD1,3,9933793,9945413,1:10,0.05%,5.87,0.00%,0.005582
CRELD2:Q6UXH1:OID20751:v1,OID20751,CRELD2,Inflammation,CRELD2,Q6UXH1,22,49918167,49927540,1:10,0.02%,5.39,0.15%,0.028677
CRH:P06850:OID21257:v1,OID21257,CRH,Oncology,CRH,P06850,8,66176376,66178464,1:01,0.99%,13.24,0.15%,0.005777
CRHBP:P24387:OID20747:v1,OID20747,CRHBP,Inflammation,CRHBP,P24387,5,76953045,76981158,1:10,0.03%,4.42,0.45%,0.005356
CRHR1:P34998:OID20055:v1,OID20055,CRHR1,Cardiometabolic,CRHR1,P34998,17,45784280,45835828,1:01,55.53%,11.7,0.00%,0.002293
CRIM1:Q9NZV1:OID20701:v1,OID20701,CRIM1,Inflammation,CRIM1,Q9NZV1,2,36355778,36551135,1:10,0.02%,4.62,0.00%,0.008219
CRIP2:P52943:OID20901:v1,OID20901,CRIP2,Neurology,CRIP2,P52943,14,105472962,105480162,1:01,0.04%,7.36,0.00%,0.012059
CRISP2:P16562:OID21456:v1,OID21456,CRISP2,Oncology,CRISP2,P16562,6,49692358,49713590,1:01,0.03%,3.9,0.00%,0.004249
CRISP3:P54108:OID30715:v1,OID30715,CRISP3,Inflammation_II,CRISP3,P54108,6,49727376,49744437,0.736111111,0.07%,3.97,0.90%,0.004227
CRKL:P46109:OID20742:v1,OID20742,CRKL,Inflammation,CRKL,P46109,22,20917407,20953747,1:10,0.01%,5.58,0.30%,0.104276
CRLF1:O75462:OID20699:v1,OID20699,CRLF1,Inflammation,CRLF1,O75462,19,18572220,18607741,1:10,0.04%,4.98,0.00%,0.007513
CRNN:Q9UBG3:OID21427:v1,OID21427,CRNN,Oncology,CRNN,Q9UBG3,1,152409243,152414263,1:01,0.06%,3.82,3.60%,0.00371
CRTAC1:Q9NQ79:OID20279:v1,OID20279,CRTAC1,Cardiometabolic,CRTAC1,Q9NQ79,10,97865000,98030828,0.111111111,0.02%,4.03,0.00%,0.00625
CRTAM:O95727:OID20914:v1,OID20914,CRTAM,Neurology,CRTAM,O95727,11,122838500,122872643,1:01,0.04%,6.3,0.00%,0.00312
CRTAP:O75718:OID30902:v1,OID30902,CRTAP,Neurology_II,CRTAP,O75718,3,33114014,33147773,1:01,87.71%,5.48,0.00%,0.00267
CRX:O43186:OID20070:v1,OID20070,CRX,Cardiometabolic,CRX,O43186,19,47819779,47843330,1:01,71.00%,7.99,0.00%,0.001527
CRYBB1:P53674:OID30319:v1,OID30319,CRYBB1,Cardiometabolic_II,CRYBB1,P53674,22,26599278,26618027,1:10,0.07%,4.61,0.00%,0.059955
CRYBB2:P43320:OID31081:v1,OID31081,CRYBB2,Neurology_II,CRYBB2,P43320,22,25212564,25231870,1:01,2.53%,5.03,0.00%,0.003964
CRYGD:P07320:OID31144:v1,OID31144,CRYGD,Neurology_II,CRYGD,P07320,2,208121607,208124524,1:01,0.06%,4.3,0.00%,0.037319
CRYM:Q14894:OID30815:v1,OID30815,CRYM,Neurology_II,CRYM,Q14894,16,21238874,21303083,1:01,7.76%,12.76,0.00%,0.018451
CRYZL1:O95825:OID30272:v1,OID30272,CRYZL1,Cardiometabolic_II,CRYZL1,O95825,21,33589341,33643926,1:01,0.06%,5.03,0.00%,0.089302
CSDE1:O75534:OID30183:v1,OID30183,CSDE1,Cardiometabolic_II,CSDE1,O75534,1,114716913,114758676,1:01,15.30%,8.5,0.00%,0.022349
CSF1:P09603:OID20719:v1,OID20719,CSF1,Inflammation,CSF1,P09603,1,109910242,109930992,1:10,0.02%,3.88,0.00%,0.005356
CSF1R:P07333:OID30681:v1,OID30681,CSF1R,Inflammation_II,CSF1R,P07333,5,150053291,150113372,0.736111111,0.07%,5.71,0.00%,0.003733
CSF2:P04141:OID30072:v1,OID30072,CSF2,Cardiometabolic_II,CSF2,P04141,5,132073789,132076170,1:01,22.54%,9.89,0.00%,0.004191
CSF2RA:P15509:OID20915:v1,OID20915,CSF2RA,Neurology,CSF2RA,P15509,X,1268800,1310381,1:01,0.02%,4.69,0.00%,0.00316
CSF2RB:P32927:OID30553:v1,OID30553,CSF2RB,Inflammation_II,CSF2RB,P32927,22,36913628,36940439,1:01,10.65%,7.74,0.00%,0.003693
CSF3:P09919:OID20491:v1,OID20491,CSF3,Inflammation,CSF3,P09919,17,40015361,40017813,1:01,3.88%,10.92,0.00%,0.010251
CSF3R:Q99062:OID30527:v1,OID30527,CSF3R,Inflammation_II,CSF3R,Q99062,1,36466043,36483278,1:01,1.70%,7.91,0.00%,0.004641
CSH1:P0DML2:OID30667:v1,OID30667,CSH1,Inflammation_II,CSH1,P0DML2,17,63894909,63896661,0.736111111,94.40%,6.06,0.00%,0.005118
CSNK1D:P48730:OID30492:v1,OID30492,CSNK1D,Inflammation_II,CSNK1D,P48730,17,82239023,82273700,1:01,68.81%,7.84,0.00%,0.020313
CSNK2A1:P68400:OID31053:v1,OID31053,CSNK2A1,Neurology_II,CSNK2A1,P68400,20,472498,543835,1:01,6.04%,9.62,0.00%,0.053393
CSPG4:Q6UVK1:OID30397:v1,OID30397,CSPG4,Cardiometabolic_II,CSPG4,Q6UVK1,15,75674322,75712848,0.111111111,0.05%,6.8,0.00%,0.00432
CSPG5:O95196:OID30843:v1,OID30843,CSPG5,Neurology_II,CSPG5,O95196,3,47562238,47580792,1:01,77.78%,9.24,0.00%,0.002555
CSRP3:P50461:OID30176:v1,OID30176,CSRP3,Cardiometabolic_II,CSRP3,P50461,11,19182030,19210571,1:01,21.49%,12.51,0.00%,0.003538
CST1:P01037:OID30581:v1,OID30581,CST1,Inflammation_II,CST1,P01037,20,23747562,23751268,1:10,0.97%,6.04,9.90%,0.004888
CST3:P01034:OID20400:v1,OID20400,CST3,Cardiometabolic,CST3,P01034,20,23626706,23638473,0.736111111,0.03%,5.24,0.30%,0.004413
CST5:P28325:OID20995:v1,OID20995,CST5,Neurology,CST5,P28325,20,23875934,23879748,1:01,0.45%,5.89,1.20%,0.005983
CST6:Q15828:OID20293:v1,OID20293,CST6,Cardiometabolic,CST6,Q15828,11,66012008,66013505,0.111111111,0.03%,4.73,3.74%,0.005227
CST7:O76096:OID20704:v1,OID20704,CST7,Inflammation,CST7,O76096,20,24949269,24959928,1:10,0.02%,5.19,0.30%,0.004399
CSTB:P04080:OID20294:v1,OID20294,CSTB,Cardiometabolic,CSTB,P04080,21,43772511,43776330,0.111111111,0.17%,4.89,2.40%,0.023725
CTAG1A_CTAG1B:P78358:OID31299:v1,OID31299,CTAG1A_CTAG1B,Oncology_II,CTAG1A;CTAG1B,P78358;P78358,X;X,154585133;154617609,154586816;154619282,1:01,93.52%,6.55,0.15%,0.003084
CTBS:Q01459:OID30710:v1,OID30710,CTBS,Inflammation_II,CTBS,Q01459,1,84549611,84574480,0.736111111,0.06%,4.15,1.20%,0.003206
CTF1:Q16619:OID20061:v1,OID20061,CTF1,Cardiometabolic,CTF1,Q16619,16,30896614,30903547,1:01,6.07%,11.3,0.00%,0.045067
CTHRC1:Q96CG8:OID30393:v1,OID30393,CTHRC1,Cardiometabolic_II,CTHRC1,Q96CG8,8,103371538,103382989,0.111111111,0.09%,5.12,0.00%,0.009698
CTLA4:P16410:OID30363:v1,OID30363,CTLA4,Cardiometabolic_II,CTLA4,P16410,2,203853888,203873965,0.111111111,95.26%,5.35,0.00%,0.004996
CTNNA1:P35221:OID30800:v1,OID30800,CTNNA1,Neurology_II,CTNNA1,P35221,5,138610967,138935034,1:01,84.79%,5.67,0.00%,0.004062
CTRB1:P17538:OID21150:v1,OID21150,CTRB1,Neurology,CTRB1,P17538,16,75218988,75226338,0.111111111,0.04%,5.49,0.00%,0.004769
CTRC:Q99895:OID20752:v1,OID20752,CTRC,Inflammation,CTRC,Q99895,1,15438442,15449242,1:10,0.02%,6.66,0.45%,0.003299
CTRL:P40313:OID31157:v1,OID31157,CTRL,Neurology_II,CTRL,P40313,16,67927640,67932365,1:01,0.08%,5.99,0.00%,0.004717
CTSB:P07858:OID20276:v1,OID20276,CTSB,Cardiometabolic,CTSB,P07858,8,11842524,11869533,0.111111111,0.04%,5.76,1.05%,0.003675
CTSC:P53634:OID20679:v1,OID20679,CTSC,Inflammation,CTSC,P53634,11,88265069,88359684,1:10,0.21%,9.37,0.75%,0.013539
CTSD:P07339:OID20358:v1,OID20358,CTSD,Cardiometabolic,CTSD,P07339,11,1752752,1764573,0.736111111,1.75%,4.8,6.89%,0.008326
CTSE:P14091:OID30628:v1,OID30628,CTSE,Inflammation_II,CTSE,P14091,1,206008535,206023909,1:10,0.07%,5.41,0.00%,0.007841
CTSF:Q9UBX1:OID21500:v1,OID21500,CTSF,Oncology,CTSF,Q9UBX1,11,66563464,66568879,1:10,0.04%,4.81,0.00%,0.005292
CTSH:P09668:OID20113:v1,OID20113,CTSH,Cardiometabolic,CTSH,P09668,15,78921058,78949574,1:01,1.01%,10.35,0.30%,0.00306
CTSL:P07711:OID20228:v1,OID20228,CTSL,Cardiometabolic,CTSL,P07711,9,87724051,87731469,1:10,0.03%,5.61,0.00%,0.00494
CTSO:P43234:OID20660:v1,OID20660,CTSO,Inflammation,CTSO,P43234,4,155921580,155953912,1:01,0.01%,3.37,0.00%,0.006621
CTSS:P25774:OID21056:v1,OID21056,CTSS,Neurology,CTSS,P25774,1,150730079,150765957,1:10,0.02%,3.75,21.59%,0.015234
CTSV:O60911:OID21405:v1,OID21405,CTSV,Oncology,CTSV,O60911,9,97029677,97156556,1:01,0.46%,5.04,0.45%,0.007428
CTSZ:Q9UBR2:OID20365:v1,OID20365,CTSZ,Cardiometabolic,CTSZ,Q9UBR2,20,58985686,59008238,0.736111111,0.05%,4.49,0.75%,0.006199
CUZD1:Q86UP6:OID30914:v1,OID30914,CUZD1,Neurology_II,CUZD1,Q86UP6,10,122832158,122846175,1:01,89.17%,5.8,0.00%,0.004125
CWC15:Q9P013:OID31479:v1,OID31479,CWC15,Oncology_II,CWC15,Q9P013,11,94962620,94973586,1:01,0.63%,5.36,0.45%,0.03669
CX3CL1:P78423:OID20976:v1,OID20976,CX3CL1,Neurology,CX3CL1,P78423,16,57372477,57385044,1:01,0.03%,6.64,0.00%,0.003324
CXADR:P78310:OID20561:v1,OID20561,CXADR,Inflammation,CXADR,P78310,21,17513043,17593579,1:01,0.03%,6.75,0.00%,0.004644
CXCL1:P09341:OID20762:v1,OID20762,CXCL1,Inflammation,CXCL1,P09341,4,73869393,73871308,1:10,0.04%,6.14,0.60%,0.022727
CXCL10:P02778:OID20697:v1,OID20697,CXCL10,Inflammation,CXCL10,P02778,4,76021118,76023497,1:10,0.02%,9.86,0.00%,0.006565
CXCL11:O14625:OID21042:v1,OID21042,CXCL11,Neurology,CXCL11,O14625,4,76033682,76041415,1:10,0.21%,10.81,0.00%,0.010838
CXCL12:P48061:OID20464:v1,OID20464,CXCL12,Inflammation,CXCL12,P48061,10,44370165,44386493,1:01,0.33%,12.7,0.00%,0.008906
CXCL13:O43927:OID21024:v1,OID21024,CXCL13,Neurology,CXCL13,O43927,4,77511753,77611834,1:10,0.05%,9.58,0.00%,0.004464
CXCL14:O95715:OID20458:v1,OID20458,CXCL14,Inflammation,CXCL14,O95715,5,135570679,135579279,1:01,8.66%,9.22,0.00%,0.024954
CXCL16:Q9H2A7:OID20282:v1,OID20282,CXCL16,Cardiometabolic,CXCL16,Q9H2A7,17,4733533,4739928,0.111111111,0.02%,4.21,0.15%,0.003512
CXCL17:Q6UXB2:OID20622:v1,OID20622,CXCL17,Inflammation,CXCL17,Q6UXB2,19,42428278,42442946,1:01,0.02%,6.29,0.00%,0.010618
CXCL3:P19876:OID20788:v1,OID20788,CXCL3,Inflammation,CXCL3,P19876,4,74036589,74038807,1:10,0.02%,6.12,0.45%,0.050889
CXCL5:P42830:OID20207:v1,OID20207,CXCL5,Cardiometabolic,CXCL5,P42830,4,73995642,73998677,1:10,0.04%,7.17,0.30%,0.029379
CXCL6:P80162:OID20613:v1,OID20613,CXCL6,Inflammation,CXCL6,P80162,4,73836640,73849064,1:01,0.02%,7.29,0.00%,0.024751
CXCL8:P10145:OID20153:v1,OID20153,CXCL8,Cardiometabolic,CXCL8,P10145,4,73740541,73743716,1:10,0.54%,7.19,1.05%,0.026857
CXCL8:P10145:OID20631:v1,OID20631,CXCL8,Inflammation,CXCL8,P10145,4,73740541,73743716,1:01,0.61%,4.98,4.20%,0.029523
CXCL8:P10145:OID20997:v1,OID20997,CXCL8,Neurology,CXCL8,P10145,4,73740541,73743716,1:01,0.36%,5.8,2.85%,0.029423
CXCL8:P10145:OID21430:v1,OID21430,CXCL8,Oncology,CXCL8,P10145,4,73740541,73743716,1:01,0.26%,5.73,1.50%,0.030622
CXCL9:Q07325:OID20675:v1,OID20675,CXCL9,Inflammation,CXCL9,Q07325,4,76001275,76007509,1:10,0.02%,6.6,0.00%,0.003627
CYB5A:P00167:OID31171:v1,OID31171,CYB5A,Oncology_II,CYB5A,P00167,18,74250846,74291973,1:01,58.53%,10.19,0.00%,0.002583
CYB5R2:Q6BCY4:OID31512:v1,OID31512,CYB5R2,Oncology_II,CYB5R2,Q6BCY4,11,7665100,7677222,1:01,0.40%,6.02,0.90%,0.03888
CYP24A1:Q07973:OID30091:v1,OID30091,CYP24A1,Cardiometabolic_II,CYP24A1,Q07973,20,54153446,54173986,1:01,66.94%,7.71,0.00%,0.004691
CYTH3:O43739:OID31208:v1,OID31208,CYTH3,Oncology_II,CYTH3,O43739,7,6161776,6272644,1:01,78.79%,10.16,0.00%,0.003194
CYTL1:Q9NRR1:OID30374:v1,OID30374,CYTL1,Cardiometabolic_II,CYTL1,Q9NRR1,4,5014586,5019458,0.111111111,1.06%,5.7,0.00%,0.006091
DAAM1:Q9Y4D1:OID30664:v1,OID30664,DAAM1,Inflammation_II,DAAM1,Q9Y4D1,14,59188646,59371405,1:10,1.00%,10.48,0.00%,0.061896
DAB2:P98082:OID21428:v1,OID21428,DAB2,Oncology,DAB2,P98082,5,39371675,39462300,1:01,0.04%,9.98,0.00%,0.082198
DAG1:Q14118:OID20774:v1,OID20774,DAG1,Inflammation,DAG1,Q14118,3,49468703,49535618,1:10,0.02%,5.75,0.00%,0.053054
DAND5:Q8N907:OID30420:v1,OID30420,DAND5,Inflammation_II,DAND5,Q8N907,19,12965159,12974760,1:01,71.82%,12.67,0.00%,0.006383
DAPK2:Q9UIK4:OID30505:v1,OID30505,DAPK2,Inflammation_II,DAPK2,Q9UIK4,15,63907036,64072033,1:01,51.20%,9.59,0.00%,0.036867
DAPP1:Q9UN19:OID20524:v1,OID20524,DAPP1,Inflammation,DAPP1,Q9UN19,4,99816827,99870190,1:01,0.10%,6.89,0.00%,0.085544
DARS1:P14868:OID20903:v1,OID20903,DARS1,Neurology,DARS1,P14868,2,135905881,135986100,1:01,0.03%,6.46,0.15%,0.096384
DBH:P09172:OID30703:v1,OID30703,DBH,Inflammation_II,DBH,P09172,9,133636363,133659329,0.736111111,0.07%,3.47,0.15%,0.001711
DBI:P07108:OID21143:v1,OID21143,DBI,Neurology,DBI,P07108,2,119366924,119372550,0.111111111,0.03%,5.31,0.45%,0.071509
DBN1:Q16643:OID30549:v1,OID30549,DBN1,Inflammation_II,DBN1,Q16643,5,177456608,177474401,1:01,0.27%,7.12,0.00%,0.078499
DBNL:Q9UJU6:OID20681:v1,OID20681,DBNL,Inflammation,DBNL,Q9UJU6,7,44044640,44069456,1:10,0.02%,6.91,0.00%,0.098902
DCBLD2:Q96PD2:OID21474:v1,OID21474,DCBLD2,Oncology,DCBLD2,Q96PD2,3,98795941,98901695,1:10,0.04%,6.06,0.00%,0.007475
DCC:P43146:OID30953:v1,OID30953,DCC,Neurology_II,DCC,P43146,18,52340197,53535903,1:01,99.00%,6.32,0.00%,0.003059
DCDC2C:A8MYV0:OID31235:v1,OID31235,DCDC2C,Oncology_II,DCDC2C,A8MYV0,2,3703575,3848008,1:01,72.60%,12.89,0.00%,0.001718
DCLRE1C:Q96SD1:OID31240:v1,OID31240,DCLRE1C,Oncology_II,DCLRE1C,Q96SD1,10,14897359,14954432,1:01,90.64%,8.09,0.00%,0.006396
DCN:P07585:OID20106:v1,OID20106,DCN,Cardiometabolic,DCN,P07585,12,91140484,91183217,1:01,0.03%,6.05,0.00%,0.005654
DCTD:P32321:OID30657:v1,OID30657,DCTD,Inflammation_II,DCTD,P32321,4,182890060,182917936,1:10,0.13%,7.79,0.00%,0.075235
DCTN1:Q14203:OID21399:v1,OID21399,DCTN1,Oncology,DCTN1,Q14203,2,74361154,74392087,1:01,0.05%,6.96,0.00%,0.096203
DCTN2:Q13561:OID21334:v1,OID21334,DCTN2,Oncology,DCTN2,Q13561,12,57529633,57547224,1:01,0.14%,23.86,0.00%,0.068757
DCTN6:O00399:OID20879:v1,OID20879,DCTN6,Neurology,DCTN6,O00399,8,30156319,30183639,1:01,25.65%,13.74,0.00%,0.035331
DCTPP1:Q9H773:OID20148:v1,OID20148,DCTPP1,Cardiometabolic,DCTPP1,Q9H773,16,30423615,30430030,1:10,0.04%,5.9,0.00%,0.015077
DCUN1D1:Q96GG9:OID30830:v1,OID30830,DCUN1D1,Neurology_II,DCUN1D1,Q96GG9,3,182938074,182985953,1:01,80.85%,9.8,0.00%,0.00323
DCUN1D2:Q6PH85:OID31231:v1,OID31231,DCUN1D2,Oncology_II,DCUN1D2,Q6PH85,13,113455819,113490951,1:01,76.73%,9.25,0.00%,0.00306
DCXR:Q7Z4W1:OID21480:v1,OID21480,DCXR,Oncology,DCXR,Q7Z4W1,17,82035136,82037709,1:10,0.06%,4.85,0.00%,0.009159
DDA1:Q9BW61:OID30126:v1,OID30126,DDA1,Cardiometabolic_II,DDA1,Q9BW61,19,17309518,17323298,1:01,80.01%,8.42,0.00%,0.023987
DDAH1:O94760:OID21299:v1,OID21299,DDAH1,Oncology,DDAH1,O94760,1,85318481,85578363,1:01,0.02%,7.02,0.00%,0.031706
DDC:P20711:OID20215:v1,OID20215,DDC,Cardiometabolic,DDC,P20711,7,50458436,50565405,1:10,0.03%,5.26,0.15%,0.003441
DDHD2:O94830:OID31043:v1,OID31043,DDHD2,Neurology_II,DDHD2,O94830,8,38225218,38275558,1:01,0.06%,5.61,0.00%,0.109487
DDI2:Q5TDH0:OID30602:v1,OID30602,DDI2,Inflammation_II,DDI2,Q5TDH0,1,15617458,15669044,1:10,0.06%,8.67,0.00%,0.070517
DDR1:Q08345:OID21009:v1,OID21009,DDR1,Neurology,DDR1,Q08345,6,30876421,30900156,1:10,0.04%,5.17,0.00%,0.005769
DDT:P30046:OID30372:v1,OID30372,DDT,Cardiometabolic_II,DDT,P30046,22,23970542,23980525,0.111111111,0.12%,6.54,0.00%,0.045012
DDX1:Q92499:OID31518:v1,OID31518,DDX1,Oncology_II,DDX1,Q92499,2,15591178,15634346,1:01,91.62%,6.28,0.00%,0.007215
DDX25:Q9UHL0:OID30892:v1,OID30892,DDX25,Neurology_II,DDX25,Q9UHL0,11,125903348,125943702,1:01,97.24%,10.14,0.00%,0.002819
DDX39A:O00148:OID30494:v1,OID30494,DDX39A,Inflammation_II,DDX39A,O00148,19,14408798,14419383,1:01,91.52%,5.34,0.00%,0.017549
DDX4:Q9NQI0:OID30431:v1,OID30431,DDX4,Inflammation_II,DDX4,Q9NQI0,5,55738017,55817157,1:01,86.15%,8.71,0.00%,0.003613
DDX53:Q86TM3:OID30944:v1,OID30944,DDX53,Neurology_II,DDX53,Q86TM3,X,22999960,23003589,1:01,88.07%,8.07,0.00%,0.003873
DDX58:O95786:OID21226:v1,OID21226,DDX58,Oncology,DDX58,O95786,9,32455302,32526208,1:01,0.43%,7.57,0.00%,0.052046
DECR1:Q16698:OID20579:v1,OID20579,DECR1,Inflammation,DECR1,Q16698,8,90001405,90053633,1:01,0.03%,14.14,0.00%,0.062396
DEFA1_DEFA1B:P59665:OID20344:v1,OID20344,DEFA1_DEFA1B,Cardiometabolic,DEFA1;DEFA1B,P59665;P59665,8;8,6977649;6996766,6980092;6999198,0.736111111,0.91%,6.97,2.40%,0.012678
DEFB103A_DEFB103B:P81534:OID30534:v1,OID30534,DEFB103A_DEFB103B,Inflammation_II,DEFB103B;DEFB103A,P81534;P81534,8;8,7428888;7881392,7430348;7882663,1:01,96.80%,6.45,0.60%,0.006946
DEFB104A_DEFB104B:Q8WTQ1:OID30849:v1,OID30849,DEFB104A_DEFB104B,Neurology_II,DEFB104B;DEFB104A,Q8WTQ1;Q8WTQ1,8;8,7470308;7836436,7475082;7841242,1:01,72.41%,6.96,0.00%,0.002659
DEFB116:Q30KQ4:OID30823:v1,OID30823,DEFB116,Neurology_II,DEFB116,Q30KQ4,20,31303212,31308585,1:01,80.13%,7.84,0.00%,0.000388
DEFB118:Q96PH6:OID30858:v1,OID30858,DEFB118,Neurology_II,DEFB118,Q96PH6,20,31368601,31373923,1:01,85.54%,6.99,0.00%,0.002399
DEFB4A_DEFB4B:O15263:OID21373:v1,OID21373,DEFB4A_DEFB4B,Oncology,DEFB4A;DEFB4B,O15263;O15263,8;8,7894677;7414855,7896716;7416863,1:01,0.83%,24.23,1.20%,0.016201
DENND2B:P78524:OID30050:v1,OID30050,DENND2B,Cardiometabolic_II,DENND2B,P78524,11,8693351,8910951,1:01,76.22%,7.14,0.00%,0.003574
DENR:O43583:OID30493:v1,OID30493,DENR,Inflammation_II,DENR,O43583,12,122752824,122771064,1:01,26.85%,6.78,0.00%,0.056896
DFFA:O00273:OID20620:v1,OID20620,DFFA,Inflammation,DFFA,O00273,1,10456522,10472529,1:01,0.02%,4.14,0.00%,0.08535
DGCR6:Q14129:OID30859:v1,OID30859,DGCR6,Neurology_II,DGCR6,Q14129,22,18906028,18914238,1:01,20.71%,8.26,0.00%,0.023142
DGKA:P23743:OID30546:v1,OID30546,DGKA,Inflammation_II,DGKA,P23743,12,55927319,55954027,1:01,5.13%,7.45,0.00%,0.077979
DGKZ:Q13574:OID20466:v1,OID20466,DGKZ,Inflammation,DGKZ,Q13574,11,46332905,46380554,1:01,95.02%,13.99,0.00%,0.027664
DHODH:Q02127:OID30137:v1,OID30137,DHODH,Cardiometabolic_II,DHODH,Q02127,16,72008588,72027664,1:01,92.82%,8.78,0.00%,0.00373
DHPS:P49366:OID31357:v1,OID31357,DHPS,Oncology_II,DHPS,P49366,19,12675717,12681880,1:01,9.68%,9.23,0.00%,0.01817
